Category,Number,Title,Body
Maulana TUS,2,"Glimpse the genius of His holiness Your acceptance, O most exalted one, is the reception acceptance of lightning inspiration of the profound glare of phasefaiz. The comprehension of a powerful personality So that the light of eternity may be diffused, and glow luminously, comprehensibly for us. Fulfilling the purpose of the gate of heaven Whereby we are able to enter","Your acceptance, O most exalted one,
is the reception acceptance of lightning
inspiration of the profound glare of phasefaiz.
The comprehension of a powerful personality
So that the light of eternity may be diffused,
and glow luminously, comprehensibly for us.
Fulfilling the purpose of the gate of heaven
Whereby we are able to enter
And glimpse the genius of His holiness."
Maulana TUS,3,The big question is Why,"The big question is Why
Why this universe,
Why the sun, moon and stars, Why the earth,
Why the inhabitable place,
Why life-giving oxygen,
Why plants of thousands of kinds, Why animals of thousands of kinds, Why man?
The when and wherefore is secondary The question is Why,
But He knows
And Maula knows."
Maulana TUS,4,It is the time of the seclusion of the Imam,"It is the time of the seclusion of the Imam, Men of God suffer
Men of faith, men of grace, men of honour suffer And you, my beloved, suffered,
A life spent in suffering, and then you were gone, We were rudderless,
In a turbulent ocean
But you had taught us to swim,
To swim against adversity
So, we swam."
Maulana TUS,5,I was walking in the storm,"I was walking in the storm,
Holding Qutbuddin Maula’s hand,
There was thunder and lightning.
It was dark and wet,
Then I looked up,
And Fakhruddin Maula was holding my hand, Let the storm rage,
I knew I was safe,
From one benevolent father to another benevolent father, I had nothing to fear."
Syedi Mazoon Saheb Abdeali Bhsb Saifuddin,1,Oh! Mazoon-e-Dawat,"Oh! Mazoon-e-Dawat,
Syedi Abdeali Bhai Saab Saifuddin, Our revered mother,
We love you,
For the glow of sajda on your forehead, For the light of understanding in your eyes, For the radiance in your smile,
For your kindness and gentleness, For your patience and care,
But after all is said and done,
Who can surpass?
A mother’s love for her children."
Qayamat,1,Days of Judgement and dooms day are one,"Days of Judgement and Doomsday are one For evil men it is Doomsday
For believers,
There are debts to pay,
But heaven is a given."
Qayamat,2,"The Earth accepts all The Earth accepts all,","The rich, the poor,
The king, the slave,
The man, the woman,
The old, the young,
Then the accounting will begin."
Faith,1,The future is bleak,"The future is bleak, it is the same as was, as is
If death comes after 20 years,
The events will be the same as now,
No increase, no service, no khidmat,
Tomorrow I will bow my head,
Today I questioned Why
Forgive me my sins,
Give me the opportunity to serve,
Give strength to my pen,
By the grace of the divine pen.
Let me write about the glory of the Lord
Let me write about His Creation, His Prophet, His Ali
Let me write about the Imams, their saintliness, their perfection Let me show the world the power of faith, the power of conviction, the power of will What else is open to me?
All other doors are closed
Hedged in alone, suffocated,
No recognition,
Always put down, put in place."
Faith,2,To turn “La Ilaha” into “Illal Allah”,"To turn “La Ilaha” into “Illal Allah” To turn hopeless into hope,
To turn Ignorance into enlightenment, To turn hell into heaven,
To turn death into life,
To turn sorrow into ecstasy,
To turn darkness into light,
Come to Islam and Imaan, O Momin And you are home."
Faith,3,Truth is here,"Truth is here,
Truth is O so near,
Touch it and you will feel its gentleness,
Put out your hand and you will feel its hold,
Truth, when you find it,
Do not let go till life goes,
Hands slack, grip unfolds, curtain rises,
Truth is face to face
November 1976"
Faith,4,What do you say to a friend,"What do you say to a friend,
Who gives you a helping hand,
Thank You,
What do you say to your parents,
Who have given you life and nurtured you, I am eternally grateful,
What do you say to Mohammed and Ali, Who have given you heaven and saved from hell, Our hearts are full and our lips silent."
Faith,5,"Islam is beautiful, Islam is graceful","Islam is beautiful, Islam is graceful,
Islam pervades the home,
Islam is tolerant.
Islam is vast,
Islam is also practical.
It gives Solace in old age,
and is the light that shines through the darkness of the world to the worlds beyond."
Faith,6,A child is born,"A child is born,
He grows up to be a Muslim, a Mumin, He grows old,
He dies,
But he is born again,
In life everlasting."
Faith,7,"With the name of Allah on my lips With the name of Allah on my lips,","With the faith of Mohammed and Ali in my heart, With the tears of Fatema for my sins, With the love of Hasan and Husain in my blood, What fear do I have of death"
Faith,8,No lightning can strike me No lightning can strike me,"No ocean can drown me
No storm can shatter me
I am safe in the aura of the Holy Five"
Faith,9,"Death and life are two sides of one Death and life are two sides of one,","In death, there is victory over life, In life, there is victory over death. Neither surpasses the one,
For in death, for a Mumin,
Heaven is his abode,
And in life, he strives for that excellence, Now oh Mumin,
You do not have a choice,
You win either way,
Living or dying."
Faith,10,"If I have fervour in my heart If I have fervour in my heart for Mohammed, If I have passion in my soul for Ali,","If I have sorrow in my being for Fatema, If I have endurance in my existence for Hasan, If I have tears in my eyes for Husain, I am at heaven’s doorstep, nay,
I am already in heaven."
Faith,11,"Allah is the creator of the farthest galaxies Allah is the creator of the farthest galaxies, And the closest earth,","Of the largest planet and the smallest,
And everything in between,
Of the coldest Pluto,
And the hottest sun,
The creator of the tallest mountains,
And the deepest volcanos,
Of the lush forest and the driest Sahara, Of godly men and evils beings,
Of Ali and Husain the perfect,
Yazid and Muawiyah who made themselves evil, We are lovers of Ali and Husain,
Going to heaven,
Lovers of Muawiyah and Yazid, you can go to hell."
Faith,12,"You are on the path to eternity Oh Mumin,","Light that first spark of faith, Fan it into a glow,
Nurture it into a flame,
You are on your path to eternity."
Faith,13,It is more than 900 years,"It is more than 900 years,
Since Imam Tayyib was born,
The sun rises every day and shines,
To bear witness to that divine being
The moon, the stars, the universe,
Shine and are illuminated by that holy presence, He is still with us,
Tayyib after Tayyib,
Till the end of time, unto eternity.
14."
Life,1,What it is to be alone,"What it is to be alone
Alone in a crowd
Alone with loved ones,
Sitting solitary at night, with all asleep,
The trees silent, the wind silent
The birds, the people all silent.
To be alone- I like it.
To feel alone – that’s tragic.
To be given sight, then darkness without
Ears to hear with, then the silence of abandoned conclusionloneliness, The wish to give-No one to receive
To love, nothing in return
Frustration, hopelessness
A blench blank wall at every turn, days pass by - and nights, Nothing accomplished, nothing fullfilledulfilled
So much fruit unplucked, so much water unharnessed So much good intention wasted
Death will come barging in tomorrow
The question will be, what have you done,
What have you done for the time given you?
And I will bow my head in shame
No excuse. No pleading
I have done nothing, affected nothing, accomplished nothing For the grace of life,
For the gift of life
My return is bleak, shame is my reward.
Dashed intentions, is my return."
Life,2,Being is life,"Being is life
Life is breath, think thought and love,
Life is also to believe,
Believe Belief in Allah,
His Prophet and Ali
Their Successors, the Imams, their Successors, the Dais O Moomin, believe,
Heaven is here with you,
Heaven is your destiny tomorrow."
Life,3,Life is for the living,"Life is for the living
Follow the straight path, You reach your goal,
Veer from it,
You land in hell,
The straight path is small, sharp The path of Islam and Imaan, Follow it steadily,
Follow it diligently,
And you reach your goal, You the living after death, You are not dead but living."
Life,4,Death and life are two sides of one,"Death and life are two sides of one, In death there is loss of life,
In life there is victory over death,
Neither surpasses the other,
For in death, for a Momin,
Heaven is his abode,
And in life he strives for that excellence. Now O Momin
You do not have a choice,
You win either way,
Living or dying."
Life,5,How shall we thank you?,"How shall we thank you?
Do honour, reverence, homage before you,
Kneel to beg your mercy and prayers?
Since to repay you is beyond what our passing minutes will allow,
Even the treasures of your love – eludes our heart’s grasp, Your strength, power, overpowers,
Your mercy engulfs, flooding, pervading our hearts and minds. You have given us ourselves, our souls, to purify in sacrifice, Lives to illuminate in your service, happiness and joy together, Blessings of a little life enriched with your love, And those little gifts that are natural as the light and the wind, As flowing as a torrential river.
So we shall thank you,
As the world thanks the sun, the moon, the stars for making it bright.
By shining with their brilliance,
As the flowers thank the sky for bringing rain in mercy, By giving off their fragrance,
As man thanks the air for allowing him to breathe, By service to Him,
Who has given him more than breath,
More than light, more than sight,
Colour, life, purpose, destiny."
Life,6,"Others have suffered before me Others have suffered before me, Will suffer after me,","But times stand still today,
And it hurts like hell."
Nature,1,The Earth is parched,"The earth is parched
The grass has withered,
The trees bow their branches in distress,
the birds have flown to other climes,
The atmosphere is of distress,
Then dark clouds gather,
The gloom increases,
Then when the earth is most desperate,
Then there is a burst of lightening,
With accompanying thunder,
And then there is opening of Allah’s mercy,
The earth is inundated with life giving rain,
Every branch, every tree, every blade of grass drinks thirstily, It is gloomy no more."
Nature,2,All have turned out to see the Queen,"All have turned out to see the Queen,
Neglecting their work,
Foregoing some difficulty
In For a glance at the transient royalty,
Passing as a flash before the eyes,
Acknowledging the homage of a thousands,
Adoring her at the mere quality of a name,
More peace in the soft lapping of the waves, as they run through the pebbles on the shore. Or the swarm of white as the doves bob with tranquility
Knowing yet deceiving himself
Man takes pleasure in temporary gains
When the eternity of nature is unnoticed."
Nature,3,The Sun pillowed on billowy clouds,"The sun pillowed on billowy clouds
Softly resting to sleep as night creeps on
The light plays havoc---- intense brightness
And leaves a furnace in a universe of darkness.
Amidst nature, soft breezes and waving trees
A turbulent heart keeps vigil,
Bears witness to the calm and peace
The birds swoop and soar
With gliding smoothness
Framed against a violet sky
Wooing and cooing
with infinite patience
Bit Bid farewell to the setting sun
A torn and ragged heart requires little more than a Rainbow sky,
A balmy breeze
When Where is the link between Man and heart,
That can find solace in changing time
And man eternally discontent with generous heart and noble mind
Others have suffered before me, will suffer after me
But times stands still today.
And it hurts like hell.
December 1960"
Nature,4,The sunbeam reaches the earth,"The sunbeam reaches the earth,
The earth accepts, and all is aglow, The rain falls
The land drinks thirstily
And the brown is green and lush The trees offer themselves,
The birds swoop in and it is lonely no more"
Nature,5,How beautiful is the waterfall,"How beautiful is the waterfall,
How splendid,
How magnificent,
The broad sheet of water coming down How awesome,
Yet, does it hurt when it dashes again the rocks, Is the spray that rises a measure cry of its wail, The rainbow that springs from it,
The beauty that comes from ache?
Then the power is reduced to placidity. The pool of pure cool water
A place of contemplation and thought A place of peace after pain"
Nature,6,"It rains, it rains, it rains It rains, it rains, it rains,","It floods, it inundates,
It nurtures the dry earth, It wreaks havoc,
It gives life,
Make it what you will,
It comes from above,
And it is just."
Love,1,When love lasts through old,"when love lasts through old age,
after the first fling of passion subsides.
when children have grown,
and have lives of their own,
if there is still time,
to talk together,
about matters not pertaining to day to day mundane matters, then their relationship is love,
if not,
then age has taken its toll,
physically and emotionally."
